Date;SQL08_cnt;SnowFlake_cnt
All;6449818;6449697
2023-03-22;81;
2023-03-21;1759;1722
2023-03-20;2339;2333
2023-03-19;402;402
2023-03-18;1072;1072
2023-03-17;2419;2411
2023-03-16;2236;2236
2023-03-15;2241;2241
2023-03-14;2696;2695
2023-03-13;2319;2313
2023-03-12;497;497
2023-03-11;1042;1042
2023-03-10;2605;2613
2023-03-09;2135;2135
2023-03-08;2488;2488
2023-03-07;2240;2240
2023-03-06;2146;2146
2023-03-05;543;543
2023-03-04;823;823
2023-03-03;1904;1903
2023-03-02;2567;2567
2023-03-01;2323;2323
2023-02-28;5556;5552
2023-02-27;3930;3930
2023-02-26;864;864
2023-02-25;1234;1234
2023-02-24;2422;2422
2023-02-23;2447;2447
2023-02-22;2499;2499
2023-02-21;2436;2436
2023-02-20;2606;2606
2023-02-19;1036;1036
2023-02-18;1659;1659
2023-02-17;3154;3154
2023-02-16;2977;2975
2023-02-15;2483;2483
2023-02-14;2692;2692
2023-02-13;2546;2546
2023-02-12;574;574
2023-02-11;1087;1087
2023-02-10;3816;3816
2023-02-09;2927;2925
2023-02-08;2066;2066
2023-02-07;1727;1725
2023-02-06;2097;2097
2023-02-05;400;400
2023-02-04;821;821
2023-02-03;1758;1758
2023-02-02;2100;2100
2023-02-01;2372;2370
2023-01-31;2206;2205
2023-01-30;2617;2617
2023-01-29;539;539
2023-01-28;904;904
2023-01-27;1880;1879
2023-01-26;1668;1668
2023-01-25;1746;1746
2023-01-24;2361;2361
2023-01-23;2197;2197
2023-01-22;475;475
2023-01-21;1149;1149
2023-01-20;2264;2264
2023-01-19;2413;2413
2023-01-18;2168;2168
2023-01-17;2639;2639
2023-01-16;2385;2385
2023-01-15;962;962
2023-01-14;1716;1716
2023-01-13;2400;2400
2023-01-12;2720;2720
2023-01-11;2847;2847
2023-01-10;2412;2413
2023-01-09;2539;2539
2023-01-08;1075;1075
2023-01-07;1712;1712
2023-01-06;2337;2337
2023-01-05;2290;2290
2023-01-04;2153;2153
2023-01-03;1834;1834
2023-01-02;1237;1237
2023-01-01;20;20
2022-12-31;985;985
2022-12-30;2028;2028
2022-12-29;2334;2334
2022-12-28;1832;1832
2022-12-27;2009;2009
2022-12-26;1433;1433
2022-12-25;23;23
2022-12-24;207;207
2022-12-23;671;671
