Branch,Rep,InvoicedTotal,Periodstart,Periodend
303,1,3811.80,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,1,14476.47,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
310,1,110.50,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
311,1,45.50,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
311,ADE,33761.20,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,AMC,51715.67,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,CGA,18067.90,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,DLV,1014.60,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,ELS,63206.79,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,FNE,10508.66,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,HDU,1892.80,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
301,JB,3318.90,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,JBA,136.80,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
311,JBE,3998.50,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,JG,121010.67,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
302,JGI,82290.62,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
302,JSM,2235.94,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,KCG,56655.29,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,LOZ,9105.55,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,LWM,13355.02,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,MBJ,62974.85,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,MS,-901.20,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
305,MSS,32171.04,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,NPR,9936.91,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
311,OSA,988.72,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,RAM,31688.17,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,SO2,2642.25,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,ZWI,10444.50,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
301,1,3053.01,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,1,12941.05,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,ALM,809.86,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
315,ANB,16.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
301,DES,88663.43,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,ERA,26989.54,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,HAH,34877.62,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,IMA,8902.80,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
305,JAC,47157.81,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,JSP,15661.16,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,KAA,8173.27,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,KDA,1899.03,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
314,KDI,59606.99,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,KM,144279.95,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
305,MS,221.80,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,OCS,21719.89,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,OLC,27975.25,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
305,SB,4445.10,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,SF,386.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,TDR,10943.70,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
302,1,13391.95,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,1,24170.86,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
301,ALB,61037.21,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,AST,3993.30,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
310,BPO,219.90,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,DW,5345.44,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,EEL,75624.90,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,ELA,60035.38,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,HEC,119.15,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,JED,6814.65,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,LIM,157248.52,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,MB,172.35,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,MB,3309.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,MB,1220.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
302,MMO,111696.43,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
303,NWA,26772.30,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
302,RGO,43850.51,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
311,SB,1112.05,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
301,SMA,-39.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,SST,11493.20,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,TME,17.60,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
305,1,-1672.20,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,1,-628.60,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
314,1,798.02,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
305,ABT,57930.81,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,ABT,2688.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,BEL,53394.52,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,CMO,3487.85,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,CR,18153.17,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
304,DGE,1605.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,DKE,6617.49,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,DMU,2274.58,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
305,DSP,116313.21,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,ECL,65785.52,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
310,GAN,80379.95,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
306,GST,37058.15,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
308,JCM,500.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
314,KAL,53788.67,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
312,KAM,11774.05,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
302,KBA,70193.08,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
301,LLC,129717.81,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
311,NDE,39413.96,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
310,NYT,36064.66,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
313,SIW,16411.81,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
310,VCR,201.00,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
314,VTA,19218.19,2023-01-16 00:00:00.000,2023-01-29 00:00:00.000
